Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,word_count
3872,141,39,3,You think she's working for You- Know-Who?,7
3874,141,39,3,"I suppose so. He could have her under the Imperious Curse, though it's unlikely. Dumbledore'd know.",16
3895,143,21,3,"Come on, I'll explain in a minute.",7
3897,143,21,3,These are some people I mentioned my Defense Against the Dark Arts idea with.,14
3903,143,21,3,"Obviously, this will help us pass our O.W.L.s, but more importantly, it gives us the ability to protect ourselves from...Lord Voldemort. Several people jump or wince in fear at the name.",31
3908,143,21,3,"That's true, but I think we're drifting from the purpose--",10
3911,143,21,3,"Well...anyway...uh, I think that in order to learn properly we'll need a teacher.",13
3924,143,21,3,So all in favor of taking lessons from Harry?,9
3925,143,21,3,Where are we going to meet?,6
3929,143,21,3,"I think we should put our names down, so we know who was here.",14
3931,143,21,3,"Honestly, Ernie, do you think I'd just leave it lying around? Besides, its enchanted.",14
3932,143,21,3,"Also, what should we call ourselves?",6
3935,143,21,3,We'll let you know when we're going,7
3936,143,29,3,I think that went well.,5
3938,143,29,3,"And did you see Cho, Harry?",6
3939,143,29,3,"Well, she couldn't keep her eyes off you, could she?!",10
3951,143,36,3,"No, they couldn't have. The parchment we all signed was enchanted, like I said. No one can betray the D.A. without us knowing.",23
3956,143,36,3,"Harry, you'd better take her to Professor Grubby-Plank. She'll know what to do.",13
3984,144,55,3,"Harry, are you all right?",5
4015,144,55,3,I know something that could cheer you up.,8
4113,147,7,3,That's got to be what Surgis Podmore was doing in the Ministry when he was arrested.,16
4116,147,7,3,"It makes perfect sense, Ron. It's got to be something the Ministry's been developing. Something top secret.",17
4117,147,7,3,Look at this. There's been a mass escape from Azkaban.,10
4166,148,35,3,Hagrid...we've been walking for a good hour.,7
4170,148,35,3,We won't let her!,4
4171,148,35,3,Of course we'll help.,4
4175,148,35,3,"Hagrid, I thought none of them wanted to come!",9
4177,148,35,3,"Oh, why, Hagrid? Why?",4
4246,150,36,3,How do you know?,4
4251,150,36,3,"How'd Voldemort get into the Ministry of Magic without being seen? I mean, he and Sirius are the two most wanted wizards in the world...",25
4253,150,36,3,"It just seems so unlikely, Harry!",6
4257,150,36,3,"Think, Harry! Voldemort knows you! He knows you'd rush off to save Sirius.",13
4261,150,36,3,"Yes, they can, Harry.",4
4263,150,36,3,"Before we do anything, we need to establish that Sirius really isn't at Headquarters. Which means we'll need to break into Umbridge's office.",23
4266,150,36,3,"Mind you, it's got to be really good!",8
4269,150,36,3,We'll also need to keep everyone away from her office.,10
4271,150,36,3,We'll probably only manage five minutes or so.,8
4275,150,36,3,"Break out your Invisibility Cloak, Harry.",6
4323,151,30,3,"We have to tell her, Harry...",6
4326,151,30,3,We were trying to find Professor Dumbledore. We had to tell him...,12
4328,151,30,3,That it's ready. The weapon.,5
4331,151,35,3,"Oh, yes. It's very well hidden.",6
4336,151,35,3,Don't call them that!,4
4354,151,35,3,I thought it worked out rather nicely.,7
4357,151,35,3,I'd imagine we should fly.,5
4363,151,35,3,"There's nothing there, Harry.",4
4380,152,70,3,"Well, let's try a few.",5
4384,152,70,3,"There's no one here, Harry. This isn't the right room.",10
4389,152,70,3,"Harry, I think we should leave.",6
4396,152,70,3,I don't think Sirius is here.,6
4400,152,70,3,"Don't touch it, Harry!",4
4437,152,70,3,"Harry, they went the wrong way!",6
4627,156,36,3,"Come on, let's go in to the feast.",8
4630,156,36,3,"Take your time, Harry. We'll be here when you are.",10
4751,161,17,3,Was that an owl I heard?,6
4762,161,17,3,"A few days ago.  Though... for a bit, I wasn't sure I was coming.",14
4765,161,17,3,She's not alone.  Even my parents -- and they're Muggles -- know something bad is happening.,16
4768,161,17,3,There's been a lot of chatter lately.  That he's gotten... old.,11
4805,161,6,3,How is it Fred and George are doing it?  Half the alley's closed down.,14
4809,161,6,3,But everyone got their wands from Ollivander.  Young.  Old...,9
4827,161,42,3,"Stop, Harry, I know where you're going with this --",10
4830,161,42,3,Harry is under the impression that Draco Malfoy is now a Death Eater.,13
4835,161,42,3,I told you.  I don't know what I saw.,9
4877,163,36,3,Will.  You.  Stop.  Eating!  Your best friend is missing!,9
4881,163,36,3,"Where've you been, Harry?  And what happened to your face?",10
4885,163,36,3,What's happened to his hand?,5
4910,164,49,3,"Granger, sir.  That one there is Veritaserum.  And that would be Polyjuice Potion.  And that is Amortentia! The most powerful love potion in the world.",25
4911,164,49,3,"It's rumored to smell differently to each person, according to what attracts them.  For example, I smell freshly mown grass and new parchment and spearmint toothpaste --",27
4925,164,49,3,How did you do that?,5
4927,164,49,3,No.  The instructions specifically say to cut.,7
5007,166,39,3,No I have not. And if you had a shred of self-respect you would turn that book in.,18
5010,166,39,3,"I'd like to know just whose book that was.  Let's take a look, shall we?",15
5014,166,39,3,The binding is fragile?,4
5019,166,39,3,"For weeks you carry around this book, practically sleep with it... and you have no desire to find out who The Half-Blood Prince is?",24
5022,166,22,3,"Well, I was curious.  So I went to",8
5026,166,22,3,And... nothing.  There's no reference to the Half-Blood Prince anywhere.,10
5029,167,22,3,"What've you got there, Hagrid?",5
5031,167,22,3,"Stinksap?  You're not sick, are you?",6
5036,167,22,3,"The Aurors. I know they're here to protect us, but... somehow I don't feel any safer.",16
5044,167,22,3,"Three Butterbeers.  Splash of ginger in mine, please.",8
5046,167,22,3,"Oh, honestly, Ronald.  They're just holding hands...",7
5049,167,22,3,Leave?  You can't be serious.,5
5051,167,22,3,So?  What if she looked over here and saw you snogging me?  Would you expect her to get up and leave?,21
5072,167,22,3,I'll get someone --,4
5117,168,49,3,My parents are dentists.  They tend to people's teeth.,9
5119,168,49,3,"No.  Though, a boy named Robbie Fenwick did bite my father once. Needed ten stitches.",15
5123,168,49,3,Look at her eyes.  They've been fighting again.  Her and Dean.,11
5147,169,36,3,Dead boring.  Though I think Harry enjoyed dessert.,8
5148,169,36,3,"Ol' Sluggy's having a Christmas do, you know.  And we're meant to bring someone...",14
5150,169,36,3,"Actually, I was going to ask you.",7
5152,169,36,3,Really.  But seeing as you have such a distaste for the idea --,13
5159,169,36,3,"Don't drink that, Ron!",4
5160,169,36,3,You could be expelled for that.,6
5166,169,39,3,Ron seems to be enjoying himself.,6
5168,169,39,3,"You shouldn't have done it, Harry.",6
5170,169,39,3,That was different.  It was tryouts.  This was an actual match --,12
5171,169,39,3,You didn't put it in? Ron only thought you did?,10
5172,170,39,3,Charms spell.  Just practicing.,4
5174,170,39,3,"How does it feel, Harry?  When you see Dean with Ginny? I know, Harry.  You're my best friend.  I see how you look at her.",25
5180,170,44,3,"He's at perfect liberty to kiss whomever he likes.  I really couldn't care less.  Was I under the impression that he and I would be attending Slughorn's Christmas party together?  Yes.  Of course, now, given the circumstances, I've had to make other arrangements.",43
5184,170,44,3,Why didn't I think of that?,6
5186,170,44,3,"Um... it's a surprise.  Besides, it's you we need to worry about. And you can't pick just anyone. See that girl over there.  That's Romilda Vane.  Rumor has it she's trying to slip you a love potion.",37
5188,170,44,3,"Hey! She's only interested in you because she thinks you're the Chosen One.  You know that, right?",17
5199,171,49,3,"Hm?  Oh, I've just escaped -- I mean, left Cormac.  Under the mistletoe.",13
